feature,truthful_mean,lie_mean,mannwhitney_u,p_value,js_divergence,cohens_d,mean_diff_ci95_low,mean_diff_ci95_high,p_value_fdr_bh
n_chars,260.09166666666664,274.225,6741.5,0.39439370665009776,0.02547725282921209,-0.12450514957839126,-4.260416666666667,32.75062499999998,0.6197615390215823
n_words,41.43333333333333,45.05,6314.0,0.09956415212706701,0.030539050698108285,-0.20291562042720568,0.6997916666666666,6.393749999999998,0.21904113467954742
n_sent,2.525,2.4833333333333334,7154.0,0.9283228078078513,0.012528463399853916,0.04501709839569846,-0.20833333333333334,0.13333333333333333,0.9957145939537146
avg_word_len,4.952329814867708,4.962636779821782,7162.5,0.945146309792608,0.04105665636322023,-0.01905042060001492,-0.102355415591092,0.117152101475591,0.9957145939537146
ttr,0.8495932179377454,0.8421640719252854,7663.5,0.38912480275287575,0.04381517846985655,0.08952031302689877,-0.021681422271674963,0.008452821788194677,0.6197615390215823
punct_ratio,0.03829859716164218,0.023611083648450385,11322.5,1.7883162737094875e-14,0.1501749698514954,0.8311835163313984,-0.017872390605681885,-0.01174852529889496,1.9671479010804364e-13
digit_ratio,0.005867546086834794,0.002864094213245424,7891.0,0.06605786419828291,0.059423976547473153,0.22397439601315636,-0.004677550993348495,-0.0013186760745165194,0.181659126545278
upper_ratio,0.030660717458033004,0.024324513651549504,8471.0,0.018150325123060203,0.04285667325587128,0.2553716143149624,-0.009345809369283338,-0.003417657728319503,0.09982678817683112
hedge_ratio,0.0014915850337294714,0.0008881382975585874,7328.0,0.5594313147296042,0.015185352552487999,0.11946062955609739,-0.00186007435137881,0.0005888796626355237,0.7692180577532057
certainty_ratio,0.0009642074193193689,0.0018585294262400479,6733.5,0.04506544258259438,0.03165669782070027,-0.15778619325787802,8.697783947228672e-05,0.0018321030061285819,0.1652399561361794
first_person_ratio,0.0014777780466296725,0.0017582409468567264,7198.5,0.9957145939537146,0.023104906018236896,-0.03196150106868749,-0.0015670079512526405,0.0021428649134131185,0.9957145939537146
