feature,coef
the,1.0082473193347048
for,0.7429841627863805
to,0.730498351728515
it,0.7146957113676895
his,0.6453682702515828
this,0.5382843279631103
that,0.5141472384319417
of,0.5055453995387886
them,0.45119475897499756
making,0.414455791183566
people,0.40730668042055657
in the,0.3985304673904051
known for,0.389572227444929
actually,0.3876240347797811
is often,0.3820607510290205
so,0.3808571008421166
one,0.35729737039729714
any,0.3515765522458245
will,0.3492460312587253
of the,0.32910572290473056
through,0.3286178994280147
why,0.3283961932144147
to have,0.3279313886427089
which,0.3215429519426541
first,0.31923002654957405
during,0.3174349935805704
your,0.3145508770866721
the united,0.3128573945180784
believed,0.31263742925664406
they,0.3060956206698719
