feature,coef
or,-1.0621807794228564
but,-0.9332267616171206
no,-0.9320990581491289
is no,-0.809474289857031
there,-0.7467549358269295
there is,-0.7242708450169314
not,-0.6933628025330787
may,-0.6011572765262468
is not,-0.49653760786972795
however,-0.48465729169588045
evidence,-0.463061774644558
do not,-0.4535881672123131
health,-0.36519481459312336
may be,-0.3531194384705963
does,-0.3526479764077646
do,-0.31418549751293035
very,-0.3086853971759215
some,-0.30110628673776285
such as,-0.2990133184762871
speak,-0.296806437433569
scientific evidence,-0.2956117318276264
evidence that,-0.2891084025630724
emotions,-0.28827205321558824
than,-0.27582306549004637
on,-0.27394478686211315
experiences,-0.27186371240388285
does not,-0.2710632437911672
magical,-0.2643177024290008
fictional,-0.2642196374874463
no scientific,-0.2634299542002893
